date,channel,impressions,clicks,spend,conversions,revenue
2024-04-14,Email,14828,383,20.53,21,1605.23
2023-09-10,Paid Social,111416,1125,784.27,23,1647.74
2023-10-30,Email,19476,466,25.02,19,1542.52
2024-09-19,Email,19571,516,30.57,22,1735.99
2023-06-14,Paid Social,94772,1167,783.83,26,1757.09
2024-09-05,Social,131556,1766,1179.66,29,1973.7
2023-01-09,Paid Social,66677,746,515.33,13,747.44
2024-02-19,Paid Search,52569,1598,1636.98,61,4784.96
2023-09-27,Email,18152,442,30.54,19,1728.34
2023-05-20,Display,115550,467,219.13,5,245.02
2023-02-03,Email,16729,522,29.46,33,3404.9
2024-08-13,Video,43349,316,322.27,5,340.93
2023-05-28,Video,49642,467,384.9,8,607.0
2024-09-11,Paid Search,57979,2318,2639.28,125,10343.92
2023-05-03,Display,136526,611,285.87,5,279.96
2023-08-13,Email,11870,288,18.21,15,1540.81
2024-07-20,Display,158383,689,349.92,6,351.77
2023-05-12,Display,122712,482,253.36,4,272.04
2024-04-19,Video,39457,280,218.06,5,335.89
2024-04-20,Display,128460,531,225.46,5,326.55
2024-11-22,Paid Search,75844,2718,3024.56,105,8847.5
2024-04-12,Display,130791,460,248.25,4,245.06
2024-04-29,Display,136158,549,248.99,6,343.38
2024-02-15,Paid Social,92971,1235,894.81,25,1500.52
2023-03-27,Video,43990,306,262.32,4,294.57
2023-03-19,Display,151043,569,312.65,5,309.58
2024-04-10,Video,39144,277,242.14,5,434.48
2024-04-01,Video,57548,471,408.49,7,569.38
2023-05-29,Email,19751,481,28.55,29,2361.18
2024-09-04,Video,49384,506,484.07,6,440.08
2024-09-08,Paid Search,56483,1769,2162.13,65,4836.83
2024-08-01,Email,19918,560,32.59,24,2187.6
2024-11-18,Paid Search,89320,2929,3543.08,112,10590.46
2024-12-02,Paid Search,118380,4069,9615.63,336,23627.29
2023-06-20,Email,20538,534,32.61,23,1718.03
2023-05-16,Display,139886,555,275.98,5,279.53
2023-09-13,Video,44718,410,368.95,5,351.83
2023-03-17,Paid Search,70561,2419,2472.91,123,9164.78
2024-01-06,Paid Search,41602,1490,1745.69,66,5398.5
2024-01-21,Display,126693,550,291.22,5,295.05
2024-03-02,Email,10969,263,15.66,14,1371.41
2024-06-24,Paid Social,97963,1274,945.75,30,1792.78
2023-04-19,Video,44687,430,412.2,6,464.67
2024-09-22,Email,20283,459,26.12,23,2073.94
2024-03-16,Paid Search,50621,1741,2735.76,99,8603.41
2023-07-25,Email,19856,529,33.92,26,2051.51
2024-11-05,Display,192050,937,468.75,10,549.54
2024-04-08,Email,20097,507,34.49,27,3083.35
2024-10-13,Paid Search,67055,2200,3011.15,77,5806.72
2024-02-21,Email,16024,449,26.04,27,2144.71
2023-08-20,Video,50408,412,383.0,7,490.34
2024-04-25,Video,51109,442,400.88,8,463.28
2024-01-15,Display,116283,423,231.81,3,166.46
2023-12-11,Paid Social,160964,1929,1316.53,37,2655.94
2023-07-01,Paid Search,57351,1963,2126.83,79,5533.26
2024-03-03,Paid Search,51572,1851,2376.79,78,6900.36
2024-04-22,Email,19528,507,31.13,32,2922.01
2023-12-13,Paid Social,165943,1757,1204.19,31,1961.81
2024-03-08,Video,49217,400,349.64,5,359.39
2023-10-08,Display,137342,519,285.13,5,269.32
2023-08-22,paid_social,80870,907,714.12,17,1192.02
2024-11-18,Display,202451,726,325.98,6,371.34
2023-03-29,Email,17858,495,31.35,21,1866.51
2024-01-27,Video,43136,255,211.66,4,271.7
2024-02-29,Video,36457,269,258.38,3,229.29
2024-09-23,Paid Search,60728,2776,3261.72,89,6473.83
2024-05-02,Paid Social,108504,1145,,21,1429.89
2024-01-13,Email,10589,240,16.72,13,1111.42
2024-10-02,Display,160489,674,350.73,6,297.45
2023-05-02,Email,18190,417,25.54,27,2416.88
2024-06-19,Email,16594,427,,23,1572.04
2023-09-11,Paid Social,94395,1231,874.7,20,1128.45
2024-07-06,Paid Social,91584,1259,871.31,33,2124.65
2024-01-21,Paid Social,97326,1227,968.57,21,1291.69
2024-10-25,Video,71441,610,516.47,8,547.05
2023-07-16,Paid Search,47583,1429,1746.57,64,5182.44
2023-11-09,Video,59726,466,428.06,7,560.27
2023-06-09,Video,48815,361,311.02,5,337.13
2024-09-13,Video,68874,568,487.86,9,589.41
2023-07-06,Paid Search,49883,1826,3367.42,131,10539.32
2023-12-28,Paid Search,69768,2561,3073.06,103,8844.15
2024-09-12,Paid Social,116535,1336,848.98,35,2655.52
2023-08-23,Display,121085,489,248.33,6,350.96
2024-03-23,Paid Social,123036,1751,1438.18,42,2737.02
2023-12-07,Display,252850,912,442.67,10,672.67
2023-11-20,Paid Social,138174,1852,2220.72,73,4441.43
2023-08-01,Display,130414,498,251.55,6,342.2
2024-08-07,Paid Search,52837,1891,2049.49,69,5030.08
2024-12-12,Email,25656,686,36.66,36,3176.17
2023-05-05,Paid Search,54035,1897,2325.9,69,5641.63
2024-10-20,Paid Search,62829,2261,2607.91,98,7211.1
2023-12-11,Display,211336,1075,602.55,13,813.89
2024-11-06,Paid Social,135252,1920,1352.46,36,2234.88
2023-05-24,Video,47470,378,307.31,6,357.49
2023-03-29,Paid Search,49831,1653,1820.9,60,4884.6
2023-02-17,Email,15383,375,24.38,20,1732.4
2023-09-17,Display,131675,631,283.45,6,316.46
2024-05-13,Email,19422,567,32.66,27,2321.8
2024-01-19,Paid Social,91962,1066,658.45,23,1672.98
2023-09-04,Paid Social,94055,1154,917.57,22,
2024-11-29,Email,31551,786,90.54,83,6713.82
2024-09-24,Display,166043,700,383.86,7,387.64
2023-10-27,Email,20756,511,29.46,25,1883.01
2024-01-27,Display,105455,344,171.19,3,173.33
2023-04-06,Paid Search,53133,2068,2264.94,83,8394.37
2024-07-25,Paid Search,67838,2360,2860.73,90,6422.35
2023-01-02,Email,15309,360,25.62,14,1051.4
2023-01-08,Video,41574,312,286.95,5,367.89
2024-01-22,Video,40054,334,291.01,5,353.39
2023-12-04,Video,70004,500,439.73,8,609.92
2023-04-10,Display,147689,521,268.8,5,301.15
2024-06-05,Display,128818,437,223.14,4,278.82
2024-07-16,Paid Search,51901,1752,2032.85,65,5073.66
2023-12-26,Paid Search,84435,2860,3391.59,105,7835.09
2024-05-16,Email,26191,645,40.62,36,3148.15
2024-02-25,Paid Social,104593,1153,795.04,24,1109.39
2024-06-04,Display,138216,516,263.17,6,363.39
2024-10-20,Email,15367,413,23.54,20,1752.15
2024-08-01,Display,120523,535,255.9,4,276.79
2024-06-16,Paid_Search,48204,1573,1835.86,51,3813.41
2024-03-04,Display,151887,590,348.44,7,462.8
2023-04-27,Paid Social,99053,1213,864.6,24,1663.23
2024-06-11,Display,143424,464,224.99,6,332.64
2024-11-12,Display,205110,865,448.66,8,481.64
2023-12-27,Email,27183,626,38.43,33,2852.41
2023-06-22,Email,16922,490,34.38,28,2421.29
2023-01-02,Video,32866,208,203.28,4,339.98
2023-12-25,Paid Search,71935,2516,3086.07,96,6221.96
2024-03-14,Paid Search,65431,2086,3004.17,109,8650.37
2024-02-11,Email,13905,387,26.66,20,1956.74
2024-11-27,Display,221458,746,712.8,14,978.22
2023-03-09,Email,16075,446,24.4,22,1827.66
2023-06-22,Display,119597,445,216.77,4,243.53
2023-11-20,Email,23368,641,71.5,68,6642.52
2023-04-09,Video,49977,376,378.91,6,394.06
2023-03-01,Email,15173,362,22.22,15,1507.44
2024-02-18,Paid Social,103294,1342,940.66,43,2837.62
2024-01-05,Paid Search,39082,1372,1505.5,52,4333.32
2024-01-13,Paid Search,46494,1463,1783.86,46,3788.16
2024-09-26,Paid Social,127001,1250,713.09,24,1359.11
2023-12-22,Video,58692,534,537.64,7,487.56
2024-09-30,Paid Search,56314,1815,2193.08,61,4703.22
2023-05-08,Paid Social,89443,917,598.95,22,1440.73
2023-03-11,Paid Social,101689,1335,955.16,37,2774.66
2024-11-07,Display,233481,878,464.96,11,636.24
2024-09-29,Video,64159,372,312.95,4,281.1
2023-07-14,Paid Search,48310,1673,2043.76,73,5152.29
2024-05-18,Email,15838,325,21.98,22,1969.26
2023-09-25,Paid Search,74628,2737,3461.89,164,12521.4
2024-02-05,Paid Search,51659,1692,2102.14,70,4744.42
2024-08-15,Paid Search,49594,1731,2128.41,62,4849.72
2024-11-26,Video,60933,544,787.93,19,1438.09
